03/15 03/16 03/17 03/18 03/19 03/20 03/21 03/22 03/23 03/24 03/25 03/26 03/27 03/28 03/29 03/30 03/31
Bharat Stage emission standards	1431 1966 1276 1226 1001 1568 1844 1397 1677 1548 1598 1697 1367 2065 2982 78482 2227 119234 95214	Bharat stage emission standards are emission standards instituted by the Government of India to regulate the output of air pollutants from internal combustion engines and spark-ignition engines equipment, including motor vehicles. The standards and the timeline for implementation are set by the Central Pollution Control Board under the Ministry of Environment & Forests and climate change.
Vantablack	1521 1097 943 916 1494 1380 1258 873 1182 2861 1841 3891 59877 20839 7899 15547 2853 58294 24762	Vantablack is a substance made of vertically aligned carbon nanotube arrays and is the blackest artificial substance known, absorbing up to 99.965% of radiation in the visible spectrum.   == Etymology == The name comes from the term "Vertically Aligned NanoTube Arrays".
Rio Ferdinand	1672 1497 941 3203 6053 3926 11506 5706 7004 4065 2373 3117 4467 29695 126710 78872 13865 12862 31828	Rio Gavin Ferdinand (born 7 November 1978) is an English former professional footballer and current studio pundit for BT Sport, who played as a centre-back. He played 81 times for the England national football team between 1997 and 2011, and was a member of three FIFA World Cup squads.	sports
Uday Hussein	2480 1520 1256 1334 1526 1630 1417 932 1236 1339 1339 1595 135194 17024 4927 3343 1497 1855 2129	Uday Saddam Hussein al-Tikriti (Arabic: عُدي صدّام حُسين‎‎) (18 June 1964 – 22 July 2003) was the eldest son of Saddam Hussein by his first wife, Sajida Talfah, and the brother of Qusay Hussein. Uday was seen, for several years, as the likely successor to his father, but lost the place as heir apparent to Qusay due to injuries he sustained in an assassination attempt, his increasingly erratic behavior, and his troubled relationship with the family.	politics
Paul Erdős	2110 1376 1615 1211 914 1069 1061 581 801 917 895 689 1184 167873 17151 2484 1102 1641 1732	Paul Erdős (Hungarian: Erdős Pál [ˈɛrdøːʃ ˈpaːl]; 26 March 1913 – 20 September 1996) was a Hungarian mathematician. He was one of the most prolific mathematicians of the 20th century.	techScience
List of National Basketball Association single-game scoring leaders	768 844 773 709 801 1001 887 612 804 837 707 122292 29546 12016 6317 3961 1009 4052 3542	This is a complete listing of National Basketball Association players who have scored 60 or more points in a game. This feat has been accomplished 67 times in NBA history.	sports
Dry county	434 471 447 464 697 641 788 410 16731 224161 6434 3187 1683 1612 1059 858 802 603 650	A dry county is a county in the United States whose government forbids the sale of any kind of alcoholic beverages. Some prohibit off-premises sale, some prohibit on-premises sale, and some prohibit both.	politics
Marozia	2563752 291 162 45 62 558 224544 3701 176 1156 714	Marozia, born Maria and also known as Mariuccia or Mariozza (c. 890 – 937), was a Roman noblewoman who was the alleged mistress of Pope Sergius III and was given the unprecedented titles senatrix ("senatoress") and patricia of Rome by Pope John X. Edward Gibbon wrote of her that the "influence of two sister prostitutes, Marozia and Theodora was founded on their wealth and beauty, their political and amorous intrigues: the most strenuous of their lovers were rewarded with the Roman tiara, and their reign may have suggested to darker ages the fable of a female pope.	history
Gunfoundry	1718016 674 155066 149 62 37 23 21 6 16 18	Gunfoundry also known as Top ka Sancha (1786 AD) was a cannonball factory set up by the second Nizam of Hyderabad, Nawab Mir Nizam Ali Khan at Fateh Maidan in Hyderabad, India. The historic Aliya High School for Boys.
Gauss–Seidel method	506 552 510 357 428 535 517 377 528 201700 504 348 387 605 569 643 519 435 542	In numerical linear algebra, the Gauss–Seidel method, also known as the Liebmann method or the method of successive displacement, is an iterative method used to solve a linear system of equations. It is named after the German mathematicians Carl Friedrich Gauss and Philipp Ludwig von Seidel, and is similar to the Jacobi method.	techScience
City of Heroes	239 229 177 191 261 223 506 370 473 351 299 266 283 267 273 241 502 21961 161869	City of Heroes (CoH) was a massively multiplayer online role-playing game developed by Cryptic Studios and published by NCSOFT. The game was launched in North America on April 27, 2004, and in Europe by NCsoft Europe on February 4, 2005, with English, German and French servers. Twenty-three free major updates for City of Heroes were released before its shutdown.	sports
Molotov bread basket	97 91 91 89 93 95 116 75 99 30513 121828 916 507 317 245 321 112 126 141	The RRAB-3, nicknamed the Molotov bread basket (Finnish: Molotovin leipäkori; Russian: ротативно-рассеивающая авиационная бомба - "rotationally dispersing aviation bomb"), was a Soviet-made droppable bomb dispenser that combined a large high-explosive charge with a cluster of incendiary bombs. It was used against the cities of Finland during the Winter War of 1939–1940.	history
Joe Medicine Crow	81 101 102 96 109 105 104 84 118 141 103 80 90 121 119 488473 45855 107968 12578	Joseph "Joe" Medicine Crow (October 27, 1913 – April 3, 2016) was a war chief, author and historian of the Crow Nation of Native Americans. His writings on Native American history and reservation culture are considered seminal works, but he is best known for his writings and lectures concerning the Battle of the Little Bighorn in 1876.	politics,history
Captain Comet	94 127 76 78 82 77 87 70 100 87 83 95 84 684 159 384060 27773 297276 70299	Captain Comet (real name Adam Blake) is a DC Comics superhero created by DC Comics Editor Julius Schwartz, writer John Broome, and artist Carmine Infantino. Once a minor character in the DC Comics canon, he occupies an almost unique position in DC Comics history as a superhero who was created between the two great superhero comics periods--the Golden Age and the Silver Age.	entertainment
Meow (cat)	2503159 74 83 211756 6974 2887 1284 1055 88 588 716	Meow (c. 2010 – May 5, 2012), also known as Meow the obese cat, was a male domestic cat who attracted international attention when an animal shelter publicized efforts to slim him down, in an attempt to have him adopted.	entertainment
Cincinnati Freedom	286216 11 15 3 12 5 7 9 9 170153 87396	Cincinnati Freedom (c. 1995 – December 29, 2008), also known as Charlene Mooken, was a 1,050-pound Charolais cow that gained fame when, on February 15, 2002, she leaped over a six-foot fence at Ken Meyers Meats, a Camp Washington (Cincinnati) slaughterhouse, and escaped.	entertainment
